year,country,broadcaster,artist,artistWikiUrl,song,songWikiUrl,language,songwriters,conductors,youtube_url
1956,be,INR,Fud Leclerc,https://en.wikipedia.org/wiki/Fud_Leclerc,Messieurs les noyés de la Seine,,French,Jean Miret|Robert Montal|Jack Say,Léo Souris,U9O3sqlyra0
1956,fr,RTF,Mathé Altéry,https://en.wikipedia.org/wiki/Math%C3%A9_Alt%C3%A9ry,Le Temps perdu,,French,André Lodge|Rachèle Thoreau,Franck Pourcel,dm1L0XyikKI
1956,de,NWRV,Freddy Quinn,https://en.wikipedia.org/wiki/Freddy_Quinn,So geht das jede Nacht,,German,Peter Moesser|Lotar Olias,Fernando Paggi,DJFGwPVKfyk
1956,it,RAI,Franca Raimondi,https://en.wikipedia.org/wiki/Franca_Raimondi,Aprite le finestre,https://en.wikipedia.org/wiki/Aprite_le_finestre,Italian,Virgilio Panzuti|Pino Perotti,Gian Stellari,HHA1mC2RkKc
1956,lu,CLT,Michèle Arnaud,https://en.wikipedia.org/wiki/Mich%C3%A8le_Arnaud,Les Amants de minuit,,French,Pierre Lambry|Simone Laurencin,Jacques Lasry,Pv7GJkqtNuc
1956,nl,NTS,Corry Brokken,https://en.wikipedia.org/wiki/Corry_Brokken,Voorgoed voorbij,,Dutch,Jelle de Vries,Fernando Paggi,6OjNzLaifFM
1956,ch,SRG SSR,Lys Assia,https://en.wikipedia.org/wiki/Lys_Assia,Das alte Karussell,,German,Georg Benz Stahl,Fernando Paggi,11gRqqnYenA
1957,at,ORF,Bob Martin,,"Wohin, kleines Pony?",,German,Kurt Svab|Hans Werner,Carl de Groof,5mETWk_nB1Q
1957,be,NIR,Bobbejaan Schoepen,https://en.wikipedia.org/wiki/Bobbejaan_Schoepen,Straatdeuntje,,Dutch,Eric Franssen|Harry Frékin,Willy Berking,mu8ueVHTb9k
1957,dk,Statsradiofonien,Birthe Wilke,https://en.wikipedia.org/wiki/Birthe_Wilke,Skibet skal sejle i nat,,Danish,Erik Fiehn|Paul Sørensen,Kai Mortensen,vX3WRMF5TuY
1957,fr,RTF,Paule Desjardins,https://en.wikipedia.org/wiki/Paule_Desjardins,La Belle amour,,French,Francis Carco|Guy Lafarge,Paul Durand,g2-XDnBHEbc
1957,de,HR,Margot Hielscher,https://en.wikipedia.org/wiki/Margot_Hielscher,"Telefon, Telefon",,German,Friedrich Meyer|Ralph Maria Siegel,Willy Berking,NoDpE2LtoZA
