year,country,runningOrder,place
1956,Netherlands,1,""""
1956,Switzerland,2,""""
1956,Belgium,3,""""
1956,Germany,4,""""
1956,France,5,""""
1956,Luxembourg,6,""""
1956,Italy,7,""""
1956,Netherlands,8,""""
1956,Switzerland,9,""""
1956,Belgium,10,""""
1956,Germany,11,""""
1956,France,12,""""
1956,Luxembourg,13,""""
1956,Italy,14,""""
1957,Belgium,1,8
1957,Luxembourg,2,4
1957,United Kingdom,3,7
1957,Italy,4,6
1957,Austria,5,10
1957,Netherlands,6,1
1957,Germany,7,4
1957,France,8,2
1957,Denmark,9,3
1957,Switzerland,10,8
1958,Italy,1,3
1958,Netherlands,2,9
1958,France,3,1
1958,Luxembourg,4,9
1958,Sweden,5,4
1958,Denmark,6,8
1958,Belgium,7,5
1958,Germany,8,7
1958,Austria,9,5
1958,Switzerland,10,2
1959,France,1,3
1959,Denmark,2,5
1959,Italy,3,6
1959,Monaco,4,11
1959,Netherlands,5,1
1959,Germany,6,8
1959,Sweden,7,9
1959,Switzerland,8,4
1959,Austria,9,9
1959,United Kingdom,10,2
1959,Belgium,11,6
1960,United Kingdom,1,2
1960,Sweden,2,10
1960,Luxembourg,3,13
1960,Denmark,4,10
1960,Belgium,5,6
1960,Norway,6,4
1960,Austria,7,7
1960,Monaco,8,3
1960,Switzerland,9,8
1960,Netherlands,10,12
1960,Germany,11,4
1960,Italy,12,8
1960,France,13,1
1961,Spain,1,9
1961,Monaco,2,10
1961,Austria,3,15
1961,Finland,4,10
1961,Yugoslavia,5,8
1961,Netherlands,6,10
1961,Sweden,7,14
1961,Germany,8,13
1961,France,9,4
1961,Switzerland,10,3
1961,Belgium,11,15
1961,Norway,12,7
1961,Denmark,13,5
1961,Luxembourg,14,1
1961,United Kingdom,15,2
1961,Italy,16,5
1962,Finland,1,7
1962,Belgium,2,13
1962,Spain,3,13
1962,Austria,4,13
1962,Denmark,5,10
1962,Sweden,6,7
1962,Germany,7,6
1962,Netherlands,8,13
1962,France,9,1
1962,Norway,10,10
1962,Switzerland,11,10
1962,Yugoslavia,12,4
1962,United Kingdom,13,4
1962,Luxembourg,14,3
1962,Italy,15,9
1962,Monaco,16,2
1963,United Kingdom,1,4
1963,Netherlands,2,13
1963,Germany,3,9
1963,Austria,4,7
1963,Norway,5,13
1963,Italy,6,3
1963,Finland,7,13
1963,Denmark,8,1
1963,Yugoslavia,9,11
1963,Switzerland,10,2
1963,France,11,5
1963,Spain,12,12
1963,Sweden,13,13
1963,Belgium,14,10
1963,Monaco,15,5
